"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"114","Kenjon Barner (FA)","19","71","3.7","11","0","0","1","1","3","3.0","0","0","9","7.9","0.9","0.0%"
"115","Detrez Newsome (FA)","11","49","4.5","16","0","0","2","2","19","9.5","0","0","9","7.8","0.9","0.0%"
"116","T.J. Logan (FA)","2","2","1.0","5","0","0","7","7","37","5.3","0","0","10","7.4","0.7","0.0%"
"117","Tommy Bohanon (BAL)","1","0","0.0","0","0","0","6","9","41","6.8","0","0","16","7.1","0.4","0.0%"
"118","Ryan Hewitt (FA)","0","0","0","0","0","0","1","2","1","1.0","1","0","12","6.6","0.6","0.0%"
"119","Roosevelt Nix (FA)","1","4","4.0","4","0","0","4","6","38","9.5","0","0","16","6.2","0.4","0.0%"
"120","Roc Thomas (FA)","8","30","3.8","23","1","0","2","4","21","10.5","0","0","5","6.1","1.2","0.0%"
"121","Byron Marshall (FA)","3","9","3.0","4","0","0","4","6","30","7.5","0","0","6","5.9","1.0","0.1%"
"122","Mike Boone (DEN)","11","47","4.3","20","1","0","2","3","1","0.5","0","0","8","5.8","0.7","0.4%"
"123","Samaje Perine (CIN)","8","32","4.0","11","0","0","3","4","5","1.7","0","0","5","5.2","1.0","1.7%"
"124","Tyler Ervin (FA)","0","0","0","0","0","0","3","4","35","11.7","0","0","9","5.0","0.6","0.0%"
"125","Shaun Wilson (FA)","6","29","4.8","9","0","0","3","5","5","1.7","0","0","5","4.9","1.0","0.0%"
"126","Tre Madden (FA)","3","3","1.0","2","0","0","2","3","35","17.5","0","0","14","4.8","0.3","0.1%"
"127","Keith Smith (ATL)","1","0","0.0","0","0","0","5","7","23","4.6","0","0","16","4.8","0.3","0.0%"
"128","Mike Gillislee (FA)","16","43","2.7","5","0","0","1","1","9","9.0","0","1","4","3.7","0.9","0.0%"
"129","David Williams (FA)","8","36","4.5","15","0","0","0","0","0","0","0","0","6","3.6","0.6","0.0%"
"130","Jeremy Hill (FA)","4","25","6.3","11","0","0","1","1","6","6.0","0","0","1","3.6","3.6","0.0%"
"131","C.J. Prosise (TB)","1","-3","-3.0","0","0","0","3","3","22","7.3","0","0","5","3.4","0.7","0.1%"
"132","Benny Cunningham Jr. (FA)","11","20","1.8","6","0","0","1","2","9","9.0","0","0","15","3.4","0.2","0.0%"
"133","De'Lance Turner (FA)","1","4","4.0","4","0","0","2","2","17","8.5","0","0","4","3.1","0.8","0.1%"
"134","Derrick Coleman (FA)","2","3","1.5","2","0","0","2","3","17","8.5","0","0","16","3.0","0.2","0.1%"
"135","Travaris Cadet (FA)","11","17","1.5","5","0","0","1","1","5","5.0","0","0","1","2.7","2.7","0.0%"
"136","Ricky Ortiz (FA)","0","0","0","0","0","0","3","4","11","3.7","0","0","12","2.6","0.2","0.0%"
"137","Jeremy Langford (FA)","9","25","2.8","7","0","0","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"138","Ameer Abdullah (MIN)","1","1","1.0","1","0","0","3","4","28","9.3","0","1","10","2.4","0.2","0.6%"
"139","Jamaal Charles (FA)","6","7","1.2","5","0","0","2","3","7","3.5","0","0","2","2.4","1.2","0.1%"
"140","Jamize Olawale (DAL)","0","0","0","0","0","0","2","4","13","6.5","0","0","16","2.3","0.1","0.0%"
"141","Justin Davis (FA)","2","19","9.5","19","0","0","0","0","0","0","0","0","11","1.9","0.2","0.0%"
"142","Derek Watt (PIT)","4","11","2.8","8","0","0","1","1","2","2.0","0","0","16","1.8","0.1","0.1%"
"143","Jonathan Stewart (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"144","David Fluellen (FA)","4","16","4.0","13","0","0","0","0","0","0","0","0","7","1.6","0.2","0.0%"
"145","Darius Jackson (LV)","6","16","2.7","4","0","0","0","1","0","0","0","0","4","1.6","0.4","0.0%"
"146","Brandon Wilds (FA)","6","15","2.5","5","0","0","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"147","Michael Burton (KC)","0","0","0","0","0","0","1","1","6","6.0","0","0","8","1.1","0.1","0.0%"
"148","Christine Michael (FA)","2","9","4.5","8","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"149","Robert Kelley (FA)","4","8","2.0","6","0","0","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"150","J.D. McKissic (WAS)","3","8","2.7","6","0","0","0","1","0","0","0","0","5","0.8","0.2","46.4%"
"151","Danny Vitale (FA)","0","0","0","0","0","0","1","2","2","2.0","0","0","5","0.7","0.1","0.0%"
"152","Jonathan Williams (WAS)","3","0","0.0","1","0","0","1","1","1","1.0","0","0","3","0.6","0.2","0.0%"
"153","Jeremy McNichols (TEN)","2","4","2.0","7","0","0","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"154","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"155","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"156","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.1%"
"157","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"158","LeVante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","La'Mical Perine (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"160","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"161","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"162","Darius Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"164","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"165","Tavien Feaster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"166","Kylin Hill (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"167","Trey Sermon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.0%"
"168","Darrynton Evans (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"169","Michael Warren II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.9%"
"171","Cam Akers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
"172","Najee Harris (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.1%"
"173","Khari Blasingame (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Austin Walter (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Tony Brooks-James (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","D'Ernest Johnson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"177","Derrick Gore (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"178","D'Andre Swift (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"179","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.6%"
"180","Travis Etienne (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.0%"
"181","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.9%"
"182","Zack Moss (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.9%"
"183","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Antonio Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"185","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"186","Malcolm Perry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Jason Huntley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"190","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"192","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"193","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Jonathan Ward (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"196","Mikey Daniel (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"197","Cameron Scarlett (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"198","Rodney Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"199","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"201","Benny LeMay (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"202","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"206","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"207","James Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.1%"
"208","JaMycal Hasty (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"209","Antonio Gibson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.5%"
"210","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"211","Scottie Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
